red_fighter_name,blue_fighter_name,winner,winner_encoded
Marnic Mann,Ketlen Souza,Blue,0
James Llontop,Chris Padilla,Blue,0
Ivana Petrovic,Liang Na,Red,1
Gabriel Benitez,Maheshate,Blue,0
Alex Pereira,Jamahal Hill,Red,1
Zhang Weili,Yan Xiaonan,Red,1
Justin Gaethje,Max Holloway,Blue,0
Charles Oliveira,Arman Tsarukyan,Blue,0
Bo Nickal,Cody Brundage,Red,1
Jiri Prochazka,Aleksandar Rakic,Red,1
Calvin Kattar,Aljamain Sterling,Blue,0
Holly Holm,Kayla Harrison,Blue,0
Sodiq Yusuff,Diego Lopes,Blue,0
Jalin Turner,Renato Moicano,Blue,0
Jessica Andrade,Marina Rodriguez,Red,1
King Green,Jim Miller,Red,1
Deiveson Figueiredo,Cody Garbrandt,Red,1
Brendan Allen,Chris Curtis,Red,1
Alexander Hernandez,Damon Jackson,Blue,0
Morgan Charriere,Chepe Mariscal,Blue,0
Ignacio Bahamondes,Christos Giagos,Red,1
Trevor Peek,Charlie Campbell,Blue,0
Court McGee,Alex Morono,Blue,0
Valter Walker,Lukasz Brzeski,Blue,0
Norma Dumont,Germaine de Randamie,Red,1
Pedro Falcao,Victor Hugo,Blue,0
Dan Argueta,Jean Matsumoto,Blue,0
